subj	block	trial	task_cue	task	choice_resp	choiceRT	choice_acc	topnum	topsize	botnum	botsize	cong	task_resp	taskRT	task_acc	RSI	CSI	altRep	E1
184	4	9	P	P	d	554.38	1	2	24	7	56	c	n	876.91	1	1000	100	0	0
184	4	10	P	P	d	578.56	1	7	56	4	24	c	j	693.48	1	1000	100	0	0
184	4	11	P	P	d	557.02	1	3	56	7	24	i	j	609.71	1	100	100	0	0
184	4	12	N	N	f	635.18	0	7	56	2	24	c	j	717.27	1	100	100	1	0
184	4	13	P	P	d	630.68	1	8	56	3	24	c	j	525.33	1	1000	1000	1	0
184	4	14	P	P	d	656.23	1	4	56	7	24	i	j	709.26	1	1000	1000	0	0
184	4	15	P	P	d	803.84	1	8	56	2	24	c	j	583.78	1	100	100	0	0
184	4	16	P	P	d	450.59	1	7	56	3	24	c	j	569.13	1	100	1000	0	0
184	4	17	N	N	f	773.41	0	2	24	8	56	c	n	958.5	1	1000	100	1	0
184	4	18	P	P	d	610.98	1	9	56	4	24	c	j	478.57	1	100	100	1	0
184	4	19	N	N	f	446.86	0	3	24	9	56	c	n	503.75	1	100	100	1	0
184	4	20	N	N	f	820.19	0	2	56	7	24	i	n	807.75	1	1000	1000	0	0
184	4	21	P	P	d	980.32	1	3	24	7	56	c	n	942.57	1	1000	100	1	0
184	4	22	P	P	d	656.07	1	7	24	2	56	i	n	1058.96	1	1000	100	0	0
184	4	23	N	N	f	599.4	0	7	24	3	56	i	j	540.7	1	100	100	1	0
184	4	24	P	P	d	576.56	1	7	24	2	56	i	n	477.78	1	100	100	1	0
184	4	25	P	P	d	580.21	1	7	24	4	56	i	n	559.98	1	100	1000	0	0
184	4	26	P	P	d	578.56	1	3	56	8	24	i	j	423.72	1	100	1000	0	0
184	4	27	P	P	d	518.91	1	2	56	9	24	i	j	717.26	1	1000	100	0	0
184	4	28	N	N	f	631.08	0	4	24	8	56	c	n	807.56	1	100	1000	1	0
184	4	29	P	P	d	542.33	1	3	56	9	24	i	j	724.86	1	1000	100	1	0
184	4	30	N	N	f	711.15	0	2	24	7	56	c	n	905.21	1	1000	1000	1	0
184	4	31	N	N	f	597.02	0	4	56	8	24	i	n	851.87	1	100	1000	0	0
184	4	32	N	N	f	468.44	0	2	24	8	56	c	n	727.59	1	1000	1000	0	0
184	4	33	P	P	d	1355.15	1	9	24	3	56	i	n	988.88	1	1000	1000	1	0
184	4	34	P	P	d	788.45	1	4	24	8	56	c	n	573.55	1	100	100	0	0
184	4	35	N	N	f	1418.49	0	8	56	2	24	c	j	818.76	1	1000	100	1	0
184	4	36	P	P	d	479.8	1	3	24	9	56	c	n	502.81	1	1000	1000	1	0
184	4	37	P	P	f	1719.47	1	4	24	9	56	c	n	806.09	1	100	1000	0	0
184	4	38	N	N	f	1001.74	0	9	24	3	56	i	j	981.5	1	1000	100	1	0
184	4	39	P	P	d	481.11	1	4	56	7	24	i	j	886.39	1	1000	1000	1	0
184	4	40	P	P	d	2720.71	1	8	24	2	56	i	n	705.15	1	100	100	0	0
184	4	41	N	N	f	685.95	0	3	56	9	24	i	n	628.19	1	1000	100	1	0
184	4	42	N	N	f	748.45	0	8	24	2	56	i	j	583.61	1	1000	100	0	0
184	4	43	P	P	d	743.37	1	9	24	3	56	i	n	1309.95	1	1000	100	1	0
184	4	44	N	N	f	680.02	0	8	56	2	24	c	j	986.3	1	100	1000	1	0
184	4	45	N	N	f	537.36	0	8	56	4	24	c	j	527.31	1	1000	1000	0	0
184	4	46	N	N	f	365.01	0	2	24	7	56	c	n	505.67	1	1000	100	0	0
184	4	47	P	P	d	755.0	1	7	56	4	24	c	j	584.97	1	100	1000	1	0
184	4	48	N	N	f	698.2	0	9	56	2	24	c	j	775.38	1	1000	1000	1	0
184	4	49	P	P	d	723.59	1	4	56	7	24	i	j	1104.19	1	100	100	1	0
184	4	50	P	P	d	651.12	1	7	56	3	24	c	j	551.7	1	1000	1000	0	0
184	4	51	P	P	d	1785.51	1	9	24	2	56	i	n	1012.5	1	1000	1000	0	0
184	4	52	N	N	f	807.12	0	4	56	9	24	i	n	1318.73	1	100	100	1	0
184	4	53	N	N	f	1070.68	0	8	24	3	56	i	j	932.62	1	100	100	0	0
184	4	54	N	N	f	472.4	0	4	24	8	56	c	n	597.95	1	100	100	0	0
184	4	55	N	N	f	537.09	0	9	56	2	24	c	j	1327.67	1	1000	100	0	0
184	4	56	N	N	f	656.85	0	3	24	8	56	c	n	1138.13	1	100	1000	0	0
184	4	57	N	N	f	584.91	0	7	56	2	24	c	j	626.36	1	100	1000	0	0
184	4	58	P	P	f	442.99	1	8	24	4	56	i	n	679.3	1	100	1000	1	0
184	4	59	N	N	f	795.1	0	3	56	8	24	i	n	974.01	1	1000	1000	1	0
184	4	60	P	P	d	586.71	1	4	24	7	56	c	n	583.41	1	100	1000	1	0
184	4	61	P	P	d	606.99	1	3	24	8	56	c	n	710.56	1	1000	1000	0	0
184	4	62	N	N	f	973.6	0	9	24	4	56	i	j	1541.78	1	100	1000	1	0
184	4	63	P	P	d	913.35	1	8	56	3	24	c	j	874.3	1	1000	100	1	0
184	4	64	N	N	f	554.39	0	2	56	7	24	i	n	989.27	1	100	1000	1	0
184	4	65	N	N	f	561.62	0	3	56	8	24	i	n	672.0	1	1000	100	0	0
184	5	1	P	P	d	871.11	1	2	56	7	24	i	j	708.93	1	1000	100	-1	0
184	5	2	P	P	d	464.26	1	7	24	3	56	i	n	921.02	1	1000	100	0	0
184	5	3	N	N	f	651.04	0	8	56	4	24	c	j	654.83	1	1000	100	1	0
184	5	4	N	N	f	1034.19	0	8	24	3	56	i	j	573.67	1	1000	1000	0	0
184	5	5	P	P	d	473.94	1	8	24	2	56	i	n	756.78	1	1000	100	1	0
184	5	6	P	P	d	428.98	1	4	24	9	56	c	n	468.68	1	1000	100	0	0
184	5	7	P	P	d	447.88	1	8	24	2	56	i	n	425.48	1	100	1000	0	0
184	5	8	P	P	d	487.93	1	4	24	7	56	c	n	427.1	1	100	1000	0	0
184	5	9	P	P	d	489.02	1	3	56	7	24	i	j	541.11	1	1000	100	0	0
184	5	10	P	P	d	576.77	1	4	24	8	56	c	n	533.72	1	100	100	0	0
184	5	11	P	P	d	901.28	1	9	56	3	24	c	j	744.71	1	1000	100	0	0
184	5	12	N	N	f	647.63	0	8	56	4	24	c	j	594.56	1	100	100	1	0
184	5	13	N	N	f	434.48	0	3	56	8	24	i	n	536.09	1	100	100	0	0
184	5	14	P	P	d	638.81	1	7	24	4	56	i	n	652.16	1	1000	1000	1	0
184	5	15	P	P	d	549.4	1	8	24	3	56	i	n	878.38	1	100	100	0	0
184	5	16	N	N	f	805.06	0	9	24	4	56	i	j	1484.18	1	100	1000	1	0
184	5	17	N	N	f	799.87	0	3	24	9	56	c	n	945.64	1	100	100	0	0
184	5	18	P	P	d	715.2	1	4	56	8	24	i	j	549.78	1	1000	100	1	0
184	5	19	N	N	f	653.77	0	2	56	8	24	i	n	537.62	1	100	1000	1	0
184	5	20	P	P	d	1124.46	1	7	56	4	24	c	j	485.98	1	1000	100	1	0
184	5	21	P	P	d	2067.29	1	3	24	9	56	c	n	1203.09	1	1000	1000	0	0
184	5	22	P	P	d	515.07	1	4	56	9	24	i	j	853.79	1	100	1000	0	0
184	5	23	P	P	d	560.74	1	3	56	7	24	i	j	918.48	1	100	100	0	0
184	5	24	P	P	d	508.37	1	9	56	4	24	c	j	824.64	1	100	1000	0	0
184	5	25	N	N	f	1351.67	0	2	56	7	24	i	n	1193.56	1	1000	1000	1	0
184	5	26	P	P	d	1309.44	1	8	24	4	56	i	n	1117.81	1	100	100	1	0
184	5	27	N	N	f	878.21	0	3	56	8	24	i	n	839.26	1	1000	100	1	0
184	5	28	P	P	d	1001.56	1	9	56	4	24	c	j	1053.94	1	100	1000	1	0
184	5	29	N	N	f	662.44	0	2	56	7	24	i	n	682.87	1	100	100	1	0
184	5	30	P	P	d	788.66	1	4	56	9	24	i	j	1192.11	1	100	100	1	0
184	5	31	N	N	f	588.95	0	9	56	3	24	c	j	562.98	1	100	1000	1	0
184	5	32	N	N	f	693.6	0	4	56	9	24	i	n	780.36	1	1000	1000	0	0
184	5	33	P	P	d	840.38	1	3	24	7	56	c	n	699.2	1	1000	1000	1	0
184	5	34	P	P	d	2451.51	1	2	56	9	24	i	j	561.65	1	1000	1000	0	0
184	5	35	N	N	f	502.54	0	8	24	3	56	i	j	638.93	1	100	100	1	0
184	5	36	P	P	d	675.79	1	2	24	8	56	c	n	588.61	1	100	1000	1	0
